time	from	to
2019-07-03T00:00:00	39	114	
2019-07-03T00:00:00	39	40	
2019-07-03T00:00:00	39	8	
2019-07-03T00:00:00	40	73	
2019-07-03T00:00:00	40	39	
2019-07-03T00:00:00	40	74	
2019-07-03T00:00:00	41	49	
2019-07-03T00:00:00	41	67	
2019-07-03T00:00:00	41	196	
2019-07-03T00:00:00	42	171	
2019-07-03T00:00:00	43	221	
2019-07-03T00:00:00	43	245	
2019-07-03T00:00:00	45	2	
2019-07-03T00:00:00	45	72	
2019-07-03T00:00:00	46	68	
2019-07-03T00:00:00	48	19	
2019-07-03T00:00:00	48	53	
2019-07-03T00:00:00	49	41	
2019-07-03T00:00:00	50	174	
2019-07-03T00:00:00	52	65	
2019-07-03T00:00:00	52	75	
2019-07-03T00:00:00	53	213	
2019-07-03T00:00:00	53	48	
2019-07-03T00:00:00	53	19	
2019-07-03T00:00:00	55	79	
2019-07-03T00:00:00	56	104	
2019-07-03T00:00:00	56	120	
2019-07-03T00:00:00	56	82	
2019-07-03T00:00:00	57	81	
2019-07-03T00:00:00	57	62	
2019-07-03T00:00:00	58	77	
2019-07-03T00:00:00	58	9	
2019-07-03T00:00:00	58	19	
2019-07-03T00:00:00	59	63	
2019-07-03T00:00:00	62	63	
2019-07-03T00:00:00	62	57	
2019-07-03T00:00:00	63	59	
2019-07-03T00:00:00	63	62	
2019-07-03T00:00:00	64	9	
2019-07-03T00:00:00	65	52	
2019-07-03T00:00:00	66	69	
2019-07-03T00:00:00	67	41	
2019-07-03T00:00:00	67	197	
2019-07-03T00:00:00	68	71	
2019-07-03T00:00:00	68	46	
2019-07-03T00:00:00	68	70	
2019-07-03T00:00:00	69	210	
2019-07-03T00:00:00	69	66	
2019-07-03T00:00:00	70	71	
2019-07-03T00:00:00	70	68	
2019-07-03T00:00:00	70	75	
2019-07-03T00:00:00	71	188	
2019-07-03T00:00:00	71	68	
2019-07-03T00:00:00	71	70	
2019-07-03T00:00:00	72	45	
2019-07-03T00:00:00	73	110	
2019-07-03T00:00:00	73	39	
2019-07-03T00:00:00	73	74	
2019-07-03T00:00:00	73	40	
2019-07-03T00:00:00	74	73	
2019-07-03T00:00:00	74	111	
2019-07-03T00:00:00	74	39	
2019-07-03T00:00:00	74	40	
2019-07-03T00:00:00	75	52	
2019-07-03T00:00:00	75	70	
